case,cost,re_frac,sol_mw,wnd_mw,bess_mwh,btm_mwh,h2_mw,co2_kt,voll,gas_mc,solar_capex,co2_price
base,443.49268331805376,0.017672459253625535,0.0,0.0,0,0,0.0,2983.4962332305404,0.0,,,
gas_45,362.8576499874985,0.017672459253625535,0.0,0.0,0,0,0.0,2983.4962332305404,0.0,45.0,,
gas_60,483.81019998333056,0.017672459253625535,0.0,0.0,0,0,0.0,2983.4962332305404,0.0,60.0,,
gas_65,524.1277166486086,0.017672459253625535,0.0,0.0,0,0,0.0,2983.4962332305404,0.0,65.0,,
gas_70,563.4864239967062,0.0753000437763175,300.0,0.0,0,0,0.0,2808.4714332305402,0.0,70.0,,
gas_85,677.3433739925393,0.0753000437763175,300.0,0.0,0,0,0.0,2808.4714332305402,0.0,85.0,,
gas_100,790.7239121073194,0.09877794858183675,300.0,100.0,0,0,0.0,2737.165033230607,0.0,100.0,,
solar_800,441.90652745101306,0.0753000437763175,300.0,0.0,0,0,0.0,2808.4714332305402,0.0,,800.0,
co2_25,518.0800891488173,0.017672459253625535,0.0,0.0,0,0,0.0,2983.4962332305404,0.0,,,25.0
co2_50,590.0530456624008,0.0753000437763175,300.0,0.0,0,0,0.0,2808.4714332305402,0.0,,,50.0
